trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
22,True,"{'a': 0.8, 'e': -1.2000000000000008}",25,0,-122.42616350310644,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
23,True,"{'a': 0.8, 'e': -1.2500000000000009}",25,7,-159.58261370239242,"{0: 9, 1: 2, 2: 2, 3: 3, 4: 2}",1
24,True,"{'a': 0.8, 'e': -1.300000000000001}",25,0,-223.5977227086906,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",1
25,True,"{'a': 0.8, 'e': -1.350000000000001}",30,0,-216.1750520806142,"{0: 18, 1: 0, 2: 6, 3: 3, 4: 3}",0
26,True,"{'a': 0.8, 'e': -1.400000000000001}",20,0,-55.446863262173316,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
27,True,"{'a': 0.8, 'e': -1.450000000000001}",25,0,-102.90853404088983,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
28,True,"{'a': 0.8, 'e': -1.500000000000001}",20,0,-36.33584701447044,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
29,True,"{'a': 0.8, 'e': -1.5500000000000012}",25,9,-105.59320257087128,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
30,True,"{'a': 0.8, 'e': -1.6000000000000012}",25,0,-188.91915028737984,"{0: 13, 1: 3, 2: 3, 3: 4, 4: 2}",0
31,True,"{'a': 0.8, 'e': -1.6500000000000012}",25,0,-157.28483120306458,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
32,True,"{'a': 0.8, 'e': -1.7000000000000013}",20,0,-85.32800305097672,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
33,True,"{'a': 0.8, 'e': -1.7500000000000013}",25,9,-115.45056405004362,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 2}",1
34,True,"{'a': 0.8, 'e': -1.8000000000000014}",30,0,-114.0311802242653,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
35,True,"{'a': 0.8, 'e': -1.8500000000000014}",25,0,-90.11915977817824,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
36,True,"{'a': 0.8, 'e': -1.9000000000000015}",20,0,-213.58079041485485,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 5}",0
37,True,"{'a': 0.8, 'e': -1.9500000000000015}",20,0,-63.111025394212646,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
38,True,"{'a': 0.8, 'e': -2.0000000000000013}",25,0,-80.6597603143966,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
39,True,"{'a': 0.8, 'e': -2.050000000000001}",20,0,-70.93393859463632,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
40,True,"{'a': 0.8, 'e': -2.100000000000001}",20,0,-66.46508098805779,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
41,True,"{'a': 0.8, 'e': -2.150000000000001}",25,0,-165.5120743777411,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
42,True,"{'a': 0.8, 'e': -2.2000000000000006}",30,0,-243.48982224264856,"{0: 12, 1: 9, 2: 5, 3: 0, 4: 4}",0
43,True,"{'a': 0.8, 'e': -2.2500000000000004}",25,0,-157.0224159719273,"{0: 14, 1: 2, 2: 4, 3: 4, 4: 1}",0
44,True,"{'a': 0.8, 'e': -2.3000000000000003}",20,0,-108.28675374891262,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
45,True,"{'a': 0.8, 'e': -2.35}",30,0,-182.3941429508038,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 4}",0
46,True,"{'a': 0.8, 'e': -2.4}",30,0,-130.0032368526613,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
47,True,"{'a': 0.8, 'e': -2.4499999999999997}",25,0,-228.49661197679623,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
48,True,"{'a': 0.8, 'e': -2.4999999999999996}",25,0,-58.202455530114634,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
49,True,"{'a': 0.8, 'e': -2.5499999999999994}",20,0,-52.43870270944329,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
50,True,"{'a': 0.8, 'e': -2.599999999999999}",25,0,-133.78663177941854,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
51,True,"{'a': 0.8, 'e': -2.649999999999999}",25,0,-163.69773189658184,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
52,True,"{'a': 0.8, 'e': -2.699999999999999}",20,0,-204.66993412168168,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
53,True,"{'a': 0.8, 'e': -2.7499999999999987}",20,0,-125.34615381376906,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
54,True,"{'a': 0.8, 'e': -2.7999999999999985}",25,0,-203.69416899864942,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
55,True,"{'a': 0.8, 'e': -2.8499999999999983}",30,3,-159.86269963354272,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 2}",1
56,True,"{'a': 0.8, 'e': -2.899999999999998}",25,0,-98.47131619949687,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
57,True,"{'a': 0.8, 'e': -2.949999999999998}",30,0,-203.07657062490333,"{0: 16, 1: 1, 2: 8, 3: 3, 4: 2}",0
58,True,"{'a': 0.8, 'e': -2.999999999999998}",20,0,-88.59225632920514,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
59,True,"{'a': 0.8, 'e': -3.0499999999999976}",20,0,-38.78521820925018,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
60,True,"{'a': 0.8, 'e': -3.0999999999999974}",20,0,-86.91176631761091,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
61,True,"{'a': 0.8, 'e': -3.1499999999999972}",20,0,-176.975754017139,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
62,True,"{'a': 0.8, 'e': -3.199999999999997}",20,0,-107.04477041848139,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
63,True,"{'a': 0.8, 'e': -3.249999999999997}",25,0,-50.68660962654651,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
64,True,"{'a': 0.8, 'e': -3.2999999999999967}",25,0,-324.78893893687433,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 6}",0
65,True,"{'a': 0.8, 'e': -3.3499999999999965}",20,0,-68.6290344291228,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
66,True,"{'a': 0.8, 'e': -3.3999999999999964}",20,0,-97.9007518705096,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
67,True,"{'a': 0.8, 'e': -3.449999999999996}",20,0,-116.05556234544403,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
68,True,"{'a': 0.8, 'e': -3.499999999999996}",20,0,-137.72247300969383,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
69,True,"{'a': 0.8, 'e': -3.549999999999996}",20,0,-161.85016982001304,"{0: 12, 1: 1, 2: 1, 3: 4, 4: 2}",0
70,True,"{'a': 0.8, 'e': -3.5999999999999956}",20,0,-87.67210360684888,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
71,True,"{'a': 0.8, 'e': -3.6499999999999955}",20,1,-46.91976098004448,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
72,True,"{'a': 0.8, 'e': -3.6999999999999953}",20,6,-105.96151326590004,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
73,True,"{'a': 0.8, 'e': -3.749999999999995}",25,0,-52.73270981999235,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
74,True,"{'a': 0.8, 'e': -3.799999999999995}",20,0,-103.67161554174487,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
75,True,"{'a': 0.8, 'e': -3.8499999999999948}",20,0,-76.1326413805111,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
76,True,"{'a': 0.8, 'e': -3.8999999999999946}",20,0,-117.54848690184798,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
77,True,"{'a': 0.8, 'e': -3.9499999999999944}",20,0,-88.95228716676124,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
78,True,"{'a': 0.8, 'e': -3.9999999999999942}",30,0,-148.3241059909818,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
79,True,"{'a': 0.8, 'e': -4.0499999999999945}",20,0,-100.20089333174191,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
80,True,"{'a': 0.8, 'e': -4.099999999999994}",25,0,-117.75656024569533,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
81,True,"{'a': 0.8, 'e': -4.149999999999994}",25,13,-72.08042543869487,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
82,True,"{'a': 0.8, 'e': -4.199999999999994}",20,12,-62.33908959548223,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
83,True,"{'a': 0.8, 'e': -4.249999999999994}",20,0,-211.79669684530796,"{0: 8, 1: 0, 2: 8, 3: 1, 4: 3}",0
84,True,"{'a': 0.8, 'e': -4.299999999999994}",20,6,-143.16653583999968,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 3}",1
85,True,"{'a': 0.8, 'e': -4.349999999999993}",20,0,-93.61260048415416,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
86,True,"{'a': 0.8, 'e': -4.399999999999993}",20,0,-60.722847103901444,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
87,True,"{'a': 0.8, 'e': -4.449999999999993}",20,0,-30.693872130130003,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
88,True,"{'a': 0.8, 'e': -4.499999999999993}",20,3,-171.00493016219724,"{0: 7, 1: 1, 2: 4, 3: 3, 4: 2}",1
89,True,"{'a': 0.8, 'e': -4.549999999999993}",20,0,-181.83827002777713,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
90,True,"{'a': 0.8, 'e': -4.5999999999999925}",25,0,-79.85814905470322,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
91,True,"{'a': 0.8, 'e': -4.649999999999992}",30,0,-229.20019386013828,"{0: 14, 1: 4, 2: 6, 3: 4, 4: 2}",0
92,True,"{'a': 0.8, 'e': -4.699999999999992}",20,0,-180.41902436690665,"{0: 10, 1: 4, 2: 1, 3: 2, 4: 3}",0
93,True,"{'a': 0.8, 'e': -4.749999999999992}",30,11,-46.70926115929033,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 0}",1
94,True,"{'a': 0.8, 'e': -4.799999999999992}",25,0,-108.93950628607226,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
95,True,"{'a': 0.8, 'e': -4.849999999999992}",25,0,-142.24360978544092,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
96,True,"{'a': 0.8, 'e': -4.8999999999999915}",25,6,-149.15742127612336,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 2}",1
97,True,"{'a': 0.8, 'e': -4.949999999999991}",20,0,-258.48301706505237,"{0: 7, 1: 0, 2: 8, 3: 1, 4: 4}",0
98,True,"{'a': 0.8, 'e': -4.999999999999991}",25,0,-324.63643056811026,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 6}",0
99,True,"{'a': 0.8, 'e': -5.049999999999991}",20,0,-149.94567444586806,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
100,True,"{'a': 0.8, 'e': -5.099999999999991}",25,0,-40.25965825515259,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
