trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.5, 'e': 0.30362565580828615}",30,0,-63.679663107267295,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.2975531426921204}",20,0,-67.889089712636,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.291602079838278}",30,0,-21.065652345707125,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.2857700382415124}",20,0,11.305604218916217,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.2800546374766822}",20,0,-18.5363268063115,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.2744535447271485}",20,0,-74.82405794836721,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",35,0,-33.75550518349033,"{0: 26, 1: 5, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",20,0,-21.956110131078407,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.25831348066883436}",25,0,-106.50755579554205,"{0: 18, 1: 4, 2: 0, 3: 1, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.2531472110554577}",25,17,10.69465116549954,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.2480842668343485}",20,0,-58.99237056789531,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.24312258149766153}",20,0,-23.27555029585014,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.2382601298677083}",35,0,-109.02878746196717,"{0: 26, 1: 3, 2: 3, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.23349492727035415}",30,0,-42.92785469524161,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.22882502872494706}",25,0,-24.462681108294724,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.2242485281504481}",20,0,-125.01181267437713,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.21976355758743912}",20,0,-2.2891174273290096,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.21536828643569034}",20,0,-15.466324877790544,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.21106092070697655}",35,0,-27.775689387749054,"{0: 29, 1: 3, 2: 2, 3: 1, 4: 0}",0
